,ReviewTitle_new,ReviewBody_new,Product
3438,not worth money,bought product november stopped working th march hardly functioned month,boAt Rockerz 255
3439,satisfied,quality superb,boAt Rockerz 255
3440,satisfied,quality superb,boAt Rockerz 255
3441,good sound quality bass,good sound quality worth price bought,boAt Rockerz 255
3442,good,good,boAt Rockerz 255
3443,happy,sound quality good,boAt Rockerz 255
3444,great product,use loved,boAt Rockerz 255
3445,must go,no word bought excellent budget,boAt Rockerz 255
3446,headphone not meant workout,headphone not meant workout last workout session,boAt Rockerz 255
3447,value money,good product con low bass effect great thank boat,boAt Rockerz 255
3448,best product quality,wander full product best product quality,boAt Rockerz 255
3449,nice good,good sound good not excellent,boAt Rockerz 255
3450,worth value,superb built quality sound clear bettery life long lasting noise cancellation fabulous,boAt Rockerz 255
3451,price range could not get better deal,cheap alternative jblonly support bass not listen classic jazz blue one,boAt Rockerz 255
3452,careful wearing not using,great chance miss headset careful wearing not using,boAt Rockerz 255
3453,replacement service,month button got stuck not working service centre chennai,boAt Rockerz 255
3454,background noise cancellation zero,person speaking call using earphone hear background noise person voice,boAt Rockerz 255
3455,stopped working within month,stopped working within month poor quality customer care service poor not able get warranty also,boAt Rockerz 255
3456,best earphone ever buy guy must go,best earphone ever buy guy must go not wait not think lot simply buy go,boAt Rockerz 255
3457,nice product,loving bass awesome comfortable sound quality nice git worth,boAt Rockerz 255
3458,best price range,one best ear headphone recently used definitely recommend,boAt Rockerz 255
3459,one earplug not working,not buy disappointedone ear plug stop working automatically,boAt Rockerz 255
3460,one earplug not working,not buy disappointedone ear plug stop working automatically,boAt Rockerz 255
3461,good product price,good sound quality great battery backup,boAt Rockerz 255
3462,excellent,great product good sound quality njoyed product,boAt Rockerz 255
3463,nice one,good one,boAt Rockerz 255
3464,good product good price point,good product,boAt Rockerz 255
3465,good product boat,good product price,boAt Rockerz 255
3466,disappointed,purchase month back one earpod not working disappointed,boAt Rockerz 255
3467,king,nice one,boAt Rockerz 255
3468,good,good,boAt Rockerz 255
3469,stop working two week,not buy product stop working two week boat service centre not replace repair product,boAt Rockerz 255
3470,stopped working month,sound quality battery awesome stopped working month trying replace warranty,boAt Rockerz 255
3471,poor,product working one week not connecting sound quality best connection poor,boAt Rockerz 255
3472,superb sound quality,nice base vocal charging getting hot,boAt Rockerz 255
3473,pathetic product,three month one side stopped working not worth money,boAt Rockerz 255
3474,good,per prize range nice product,boAt Rockerz 255
3475,good,good,boAt Rockerz 255
3476,awesome,great sound,boAt Rockerz 255
3477,blindly purchase,faced problem mic overall superb,boAt Rockerz 255
3478,superb bass,loved battery life around hour continuous usage,boAt Rockerz 255
3479,pain ear,used hour full pain ear not purchase itam bad,boAt Rockerz 255
3480,,amazing product received wire long worth money use sticking wire cord see pic,boAt Rockerz 255
3481,not waste money,not working properly day audio music not working connect phone,boAt Rockerz 255
3482,good quality cheap price,good quality,boAt Rockerz 255
3483,bassheads,excellent bass crisp sound clarity drawback mic not pick voice clearly,boAt Rockerz 255
3484,stopped working within one month,tested one month one ear piece stopped working quality not upto mark,boAt Rockerz 255
3485,poor,battery back z poor sound quality z jst average dun go fake review,boAt Rockerz 255
3486,poor sound quality,sound quality horrible basy heavy connectivity issue also quite persistent,boAt Rockerz 255
3487,not whorthy,bought jan rd one side not working not waste money,boAt Rockerz 255
3488,supar bass,supar bassgood bettry backup bluetooh rangeanthig good comfeble,boAt Rockerz 255
3489,good,good,boAt Rockerz 255
3490,bass awesome,super bass not satisfied mouse,boAt Rockerz 255
3491,sound good,product bettry aftar vary fast defuse sound quality good bat mtr undar blutooth sound break,boAt Rockerz 255
3492,value money,value money sound quality superb,boAt Rockerz 255
3493,great product,best,boAt Rockerz 255
3494,one side speaker not working worst experience,one side left side speaker not working yar pathetic trust amazon poor experience yar want replacement,boAt Rockerz 255
3495,bass good,best bass powerful sound quality good best price excellent choice,boAt Rockerz 255
3496,worth money,good low volume full volume not expected r not interested rock music buy,boAt Rockerz 255
3497,average product,actually buy product jan product not work properly one right earphone not working,boAt Rockerz 255
3498,outstanding,wat ear piece music taken new grt level outstanding experience bass mind blowing depth grt,boAt Rockerz 255
3499,good product,good sound bass decent however noise cancellation not effective overall worth money product,boAt Rockerz 255
3500,good product,good sound bass decent however noise cancellation not effective overall worth money product,boAt Rockerz 255
3501,fake warranty,not accepting complaint headphone get malfunctionend month disappointing,boAt Rockerz 255
3502,not wait much go,extra bass connect two device feature lite weight forgot headphone neck,boAt Rockerz 255
3503,battery life not good,overall good user battery life not good,boAt Rockerz 255
3504,one side earphone not working,not purchase one month right side earphone not working,boAt Rockerz 255
3505,nice product,good sound battery backup also hour,boAt Rockerz 255
3506,awesome,awesome,boAt Rockerz 255
3507,great,excellent,boAt Rockerz 255
3508,not preferred,one side stop working month,boAt Rockerz 255
3509,basshead,best base lover,boAt Rockerz 255
3510,not duel option,not stable earsound quality average not use side work one month not functional,boAt Rockerz 255
3511,good quality,quality,boAt Rockerz 255
3512,great,earphone excellent issue not fit ear always come minute sound awesome,boAt Rockerz 255
3513,keen sound expectation,efficient cost classy look great sound music soooo clear bass effective great value money,boAt Rockerz 255
3514,poor bluetooth range,bluetooth range o poor not even meter sound quality verry good battery life ok,boAt Rockerz 255
3515,awesome bluetooth headset must buy,superb product classy look good build quality overexceed expectation never look back star,boAt Rockerz 255
3516,battery life not good,within month purchase battery got drained not expeced brand like boat waste money,boAt Rockerz 255
3517,good valued product,price range,boAt Rockerz 255
3518,give start,product good lowest price sound quality good noise cancelation good battery not good,boAt Rockerz 255
3519,good bass noice cancellation,value price,boAt Rockerz 255
3520,superb sound,sound good,boAt Rockerz 255
3521,worth every penny spend buying product,amazing product mind blowing sound quality area earphone lack noise phone call,boAt Rockerz 255
3522,nice ear phone,niceeasily listen hour music mid volume one charge,boAt Rockerz 255
3523,shaking noise coming,time speaking call hearing unwanted noise like shaking noise,boAt Rockerz 255
3524,nil,nil,boAt Rockerz 255
3525,got free huawei,good given price,boAt Rockerz 255
3526,waste money,waste product no battery standard recommend use boult space headphone,boAt Rockerz 255
3527,good product,sound quality need improve rest thing good,boAt Rockerz 255
3528,not suitable playing game,good not buy want play game using wireless delay sound playing game like pubg,boAt Rockerz 255
3529,wow love,no word explain product,boAt Rockerz 255
3530,wow love,no word explain product,boAt Rockerz 255
3531,worth money,battery backup good,boAt Rockerz 255
3532,must go,good quality product sound vary loud good bass sound quality good,boAt Rockerz 255
3533,worth buying,using since last month sound quality awesome battery life good standby run whole day,boAt Rockerz 255
3534,no bass sound disturbence want return order,sound disturbence no bass totally not good want refund please give refund totally bad,boAt Rockerz 255
3535,replace,want replace product product not working properly facing lot issue connecting,boAt Rockerz 255
3536,buy expecting one,fantastic headphone charging bass feel amazing ever use one boat rock always,boAt Rockerz 255
3537,nice product,range bluetooth quite good tgere seems problem bluetooth component covered something,boAt Rockerz 255
3538,worst product,bought dec th nt even mnths got repaired got disappointed dis nt worth fr money,boAt Rockerz 255
3539,battery sound quality poor,battery sound quality poor,boAt Rockerz 255
3540,pls say helpline number address not working,not working automatically disconnected pls tell help line number,boAt Rockerz 255
3541,nice product,nice product,boAt Rockerz 255
3542,sound quality,superb sound quality,boAt Rockerz 255
3543,ok ok,not good calling noisy area,boAt Rockerz 255
3544,sound quality okay,bass good low sound,boAt Rockerz 255
3545,good bt headphone budget,got super deal performing well per expectation,boAt Rockerz 255
3546,,,boAt Rockerz 255
3547,outstanding sound quality,really outstanding earphone sound quality like bass awesome trouble low budgetable thanks,boAt Rockerz 255
3548,sound quality,compare price sound quality really great,boAt Rockerz 255
3549,superb,excellent sound quality noise cancellation delivered time nothing worry awesome product go,boAt Rockerz 255
3550,good,good product prise product saw one problem distance foot disconnect,boAt Rockerz 255
3551,not suitable rough use,not suitable rough use,boAt Rockerz 255
3552,good,fine ear pain sometime,boAt Rockerz 255
3553,perfect,super product super price,boAt Rockerz 255
3554,worth,using bluetooth headset last month quite satisfied sound quality price range,boAt Rockerz 255
3555,battery not good,batter quality poor automatically power sound quality good love,boAt Rockerz 255
3556,value money,sound quality awesome,boAt Rockerz 255
3557,good,best headphone price mine one got not working month period n boat got replaced day jst go,boAt Rockerz 255
3558,good bluetooth ear phone,samsung bluetooth better good bluetooth,boAt Rockerz 255
3559,boat rockerzz really really rock,main thing like clear audible boombastic bass,boAt Rockerz 255
