,ReviewTitle_new,ReviewBody_new,Product
0,honest review edm music lover,no doubt great bass great extent noise cancellation decent sound clarity mindblowing battery following dissapointed though tried lot adjust bluetooth range not pain ear due conical bud removed wire bit long make odd front no pouch provided worst part low quality distoring mic person keep complaining voice,boAt Rockerz 255
1,unreliable earphone high cost,earphone unreliable bought day meanwhile right side ear bud got cracked automatically got divided two part sound quality also not much good ok one thing bass not good boat earphone guy also proof attached picsplease see think buying unreliable product thanks,boAt Rockerz 255
2,really good durable,bought itfor purchased second time gifted first one brother really good sound quality really good connect device time connect laptop mobile listening muaic lappy get call switch mobile switch device not good price awesome battery stand hour used continously hour one go battery life pretty awesome comfortable ear,boAt Rockerz 255
3,stopped working day,sound quality adorable overall good week stopped working since never powered claiming warrenty still undergoing,boAt Rockerz 255
4,awesome wireless headphone,awesome good sound quality hr battery life waww look brought rupee amazon packageing system bad poor packaging flipcart packaging system much better amazon,boAt Rockerz 255
5,charging port not working,day charging port not working not even return wat know one year warranty day c mon boat please send new one,boAt Rockerz 255
6,loved color sound,sound build quality battery life earphone quality good strong magnetic lock strap good quality earphone wire good button quality good sound full punchy bass balanced treble sorrund effect good fitting ear hope connectivity good bcz last boat bluetooth bassheads connection issue worth price hope packaging good no bubble wrapping,boAt Rockerz 255
7,great sound worst mic,one month usage reviewing pro sound quality design weight batterycons bad mic talking not use riding bike music loud,boAt Rockerz 255
8,battery life good enough keep going day,not get enough earphone bass amazing perfect music lover battery life good enough keep going day fact connect laptop phone time switch make experience much better use earphone lot voice call not let must buy music lover,boAt Rockerz 255
9,bad durabity,product durability month lost bill detail not claim warrenty earphone built quality bad stop wrking completely month sep nov life span not lose ur bill detail incase want warranty purchasing must register ur product boat site replacement warranty,boAt Rockerz 255
10,running become comfortable,sound quality good mean not compared senheiser bose worth price perfect use running earbuds comfortable would not even feel plugged,boAt Rockerz 255
11,disappointed,earth use buying product stop working one month happiness sailed like boat disappointed,boAt Rockerz 255
12,extremely good bt earphone loud super bass,hey used quite budget earphone senn soundmagic e piston jbl c si boat rockerz compared boat rocker earphone additionally philip basic sony jbl headphone bought use friend relative none compare loudness bass overall effect bt earphone obviously not audiophile know difference good sound noise concern found wire hang lil low high could sharper nitpicking not fault otherwise paired rn pro,boAt Rockerz 255
13,product not good quality,product stopped working month time,boAt Rockerz 255
14,not expected th day purchase,right speaker not working useless product big disappointment,boAt Rockerz 255
15,good earphone good sound quality build quality,received boat earphone yesterday evening sound quality perfect good combination bass treble feel every beat connectivity quick detects connects easily battery life good stayed around hr received yesterday evening playing since first day review performance good earphone look solid build quality good magnate really helpful hold earphone earphone look great earphone wire could bit long fine not sure others not get chance charge not sure time full charge one thing observed hour play time music stopped playing middle not sure get disconnected technical problem overall performance nice good experience,boAt Rockerz 255
16,good sound bad designed,sound bass quality good battery life good noise cancelling good wire long uncomfortable not looking good wire starting top looking bad anyway everything ok,boAt Rockerz 255
17,good product decent pro,product good buy looking decent bluetooth earphone reputed brand sound quality pretty good good amount bass durability material seems durable earphone light weightbattery life decent battery life upto hour playtime volume connectivity get connected second sometimes get disconnected within small rangecall quality call quality decent person end call clearly however need place mic exactly near mouth sometimes call get distorted,boAt Rockerz 255
18,average product not buy,average product not happy pro good sound qualitycons uncomfortable silicon bud not soft bought memory foam bud pair use battery life ok give low battery alarm dy within minlittle heavy earsno return possible,boAt Rockerz 255
19,overall good not worth,problem earpiece metal heavier normal wired earpiece make feel uncomfortable start feel heavier ur ear earbuds sleepery heavy earpiece sleepery earbuds make irritate seems like boat focussed bass earphone note word bass much bass long time surely give headache bought not think worth senhessier cx wired earphone way much better way much want buy buy sake wireless feature not sound build quality,boAt Rockerz 255
20,budget friendly,product great intially real test month useso reviewing product two month usepros earphone drive rich sound quality inspite wireless neck band make much durable earphone flat wire durable magnet save loosing degree tilted earbuds fit right ear check degree tilted earphone day weather comfortable not come pair extra bud small big medium one already itcons connectivity dual phone not easy shown connect earphone phone usual disconnect phone switching bluetooth phone connect earphone phone b switch earphone switch back open bluetooth setting phone b paired device list select boat rocker device time earphone get hear connected boat rockerz twice get cracking sound ideal dial number dial pad battery life not accuratesometimes work hour battery sometime dead not rely battery indicator battery charged hour work constantly hour normal volume hope help mark helpful overall go get exciting deal product,boAt Rockerz 255
21,received product one side earphone not working,not guy check product selling received product one side earphone working not,boAt Rockerz 255
22,satisfied totally,got today really loved product awesome sound thinking buy airpod friend suggested spend much ordered really amazing look good great sound not hurt ua ear totally satisfied could not say battery got today,boAt Rockerz 255
23,not buy,rightside speaker stop working within day,boAt Rockerz 255
24,unable connect two device simultaneously,overall good unable connect two device simultaneously please guide thank,boAt Rockerz 255
25,read carefully,brought last week frank really awesome beyond expectation sound quality like personal home theatre clear loud enough listen every single bit music coming battery backup said hr working near one say go,boAt Rockerz 255
26,defective product,defective product not working return defective product,boAt Rockerz 255
27,not buy,although sound quality good purpose buying wireless earphone control button not work bought product withing week control stop responding not switch anything replaced got refund bought another piece different color worn day time seller appario retail private ltd leave wisdom whether want buy not never buy brand least platform,boAt Rockerz 255
28,really boat beating others price range k,prime customer amazon always purchase product much research bought boat rokerz sale trust blown away used sony headphone price range k similar price range sound quality battery life seems good not tested described update soon durability perfect fit no pain no discomfort really boat done fantastic job amazing music quality superb bass high mids low go,boAt Rockerz 255
29,not good,battery faulty,boAt Rockerz 255
30,really cheep quality,boat blue tooth ye doubt voice quality amazing day big fan boat day voice side going even day not able hear anything one sideboat service pathetic raise complaint almost day back replacement rapair day reach rapir center not sure many day boat take repair big suggestion not buy,boAt Rockerz 255
31,awesome bass battery life,awesome bass even low volume bass thing earphone really like sound could clarity nonetheless good great battery life well last hour grouse not comfortable changed plug smallest ear still hurt maybe take getting used spent great indian sale definitely worth,boAt Rockerz 255
32,review update product failed month,update sadly second boat product conk month use guess end journey boat audio not buying product brand changed rating reflect market cheap pair bluetooth earphone chanced upon lightning deal bought used boat product good build quality sound alright writing month enough time lived get know quirk problem sound nothing great bit bassy side bass lover definitely good buy connectivity quick painless work without hassle every time quality connectivity depends sometimes weird put phone charge use distance meter no worry sometimes walking really fast jogging break crackle audio not sure material gym wear work well phone jean battery life nothing write home listen music constantly even work demand probably high price range sweat proof advertised no interruption light drizzle got great build quality price look feel premium not tangle stay ear regardless intensity exercise great whole great buy looking cheaper alternative wait sale get though like review please click helpful button encourages share product use thanks,boAt Rockerz 255
33,ok quality,headphone good beginning week getting disturbance left side earpiece stay sometime,boAt Rockerz 255
34,good sound quality,audio quality pretty good way speaks bye amigo turning also unique durable designed right mic opening towards engraved rest headphone completely covered make water resistant guess thing look weird leav hanging around neck unlike bluetooth headphone hard collar kind thing wire stretching hang low neck hard collar kind one look like small neck accessory left hanging either way liked product job battery back also really good,boAt Rockerz 255
35,amazing product go,close eye go amazing price got festival sale cost rupee everything perfect bluetooth earphone bass amazing even sony jbl bt earphone sound crystal clear mic quality decent battery life hour playback noise cancellation pretty enough impressed earphone last earphone stereo supported enjoy song also play pubg bluetooth earphone really love boat,boAt Rockerz 255
36,frequent failure,item rendered defective three time le two month usage first two time due charging issue third time due sound distortion warranty item repaired first two time registered compliant third failure product spent time service centre used completely dissatisfied reliability product,boAt Rockerz 255
37,puchase sub price offer otherwise expensive quality,purchased price justifies quality music purpose lag bass still justified price basic function not work desired like overriding use button startup shutting voice annoying could kept subtle also battery drain quickly microphone worst person end not able hear clearly built quality cheap not expect durable long keep safe also used running audio started interrupt regularly annoying abstain using morning jog experience giving star,boAt Rockerz 255
38,average product,reason average product pro excellent con also work pro good noise cancellation excellent sound quality range not bad good battery lifecons soft earbuds small hole wear helmet slight change angle earpiece unable hear anything earpiece unless correct angle durability left earpiece headphone stopped working within month use company repaired gave back time taken long also left earpiece project lower sound right one not inform bluetooth get disconnected going range becomes useless battery reach keep informing oops battery low every minute next minute switch,boAt Rockerz 255
39,great earphone fir bass mic no noise cancellation,grear earphone sceptical bought price le wireless ear phone bass point battery life approx hour hardly feel ear mic pick noise one minus still hear sound mic sensitive speak almost still person get,boAt Rockerz 255
40,no second thought go,got product pm immediately opened package see condition however came well packed box top amazon insulated cover invoice opened headphone put charging laptop minute started using pro connecting new oneplust within no time giving sound bold voice stating connected boat rocerz base really awesome able hear vocal properly well mounted ear tip help use headphone longer time call quality fine noise cancellation ok music good listen driving con multi functional not compatible phone assumption could not able got next song previous song noise cancellation not much awesome yeah able listen voice properly side give pause minute song listening go back phone replay againoverall satisfactory deal worth every rupee spend second product boat strongly recommend,boAt Rockerz 255
41,superb,sound quality good noise cancellation not upto mark battery quality decent charging enjoy upto hr music without issue,boAt Rockerz 255
42,go,awesome best budget wireless earphone,boAt Rockerz 255
43,good bluetooth headset k,product design good durable best feature sound quality design however not liked battery backup hardly hr continuously powered requires charged atleast x day overall would say good deal k max k inr otherwise not recommend,boAt Rockerz 255
44,good multipoint option r,got r great deal price bought socially multipoint feature work great mobile found keep running connecting issue window laptop may take connect back window laptop battery okay not take whole day not expect noise cancellation sound great enjoy bass another little annoying thing apart connecting window laptop crackling sound hear sometime no reason even close proximity streaming device,boAt Rockerz 255
45,good price happy,product perfect purchase not charging requested replacement replacement quick prominent thank boat team pro soft feeling wearing boat rockerze look also good sound quality excellent like premium brand using receiving product without charging going battery last full day happy value money con not find still,boAt Rockerz 255
46,detailed review,pro charge time hr backup good full day use hr continuous two led color red blue using blue light blink every sec build ringtone trrrin trrrin type using honor x show battery icon stage give warning low battery connected disconnected human voice lightwight good build quality replaced rubber earplug piston earphone plug pair come package not soft fine control volume pc mobile depends device currently playing using piston onemore music quality not level pretty decent bass balancedcons range real world play well room moment walk room distortion occurs mic sensitive work fine far no complains end not used outside room keep charging get switch reconnect not big issue first doubt battery sound quality mic quality using happy even though used one boat mi earphone samsung earphone phillips etc,boAt Rockerz 255
47,not great product great price,got inr reason giving star rating casual listener decent sound found clear not comparable hi re earphone ofcourse good amount bass not deep bass instead muddy bass else expect price good casual music found little weird watching movie connectivity ok not great put phone behind body like case keep ur phone back pocket connection get lost moreover since bluetooth even range around le build quality seems good time tell another boat product called boat rockerz flagship product good product year still running strong though not use daily driver problem earpads really bad shape similar hope product confused similarly priced earphone like boult tagg not bother chinese earphone branded marketed boat tagg etc believe sound similar mrp written basically maketing gimmick no way kind earphone could cost inr audiophiles well one not looking anyway happy shopping,boAt Rockerz 255
48,bad sound quality,worst product,boAt Rockerz 255
49,quality sound really awesome company also must look build quality,nice product love sound bass purchased another two family member make sure sound quality one thing really concerned build quality mine replaced two time till power button issue take day replace product first time day purchaseing three month clame new replacement good one let u see many day go,boAt Rockerz 255
50,worth price best quality ipx instead ipx,well used boat product good pro base good water resistant doscription say ipx earphone box say ipx even better update product description magnet lock design con cable bit long control box side little hard cable back remaining cable not long good product recommend people want buy cheap best wireless earphone,boAt Rockerz 255
51,disappointed,totally disappointed product returned boat rockerz better,boAt Rockerz 255
52,poor battery connectivity,pleased write review talk pro con pro good bass sturdy great look good noise cancellationcons forget buying planning use gaming like battle royale game issue latency bluetooth lag hear noise second fire gun disspointed battery backup max hour continously use low volume wrong place charging port installed difficult plugin plug,boAt Rockerz 255
53,best quality price,really like base sound quality price good listen music bose qc using day day basis carrying qc wherever go not practical going headphone quite enough music need microphone working expected issue headphone not announce battery percentage however oneplus show headphone battery connected headphone give annoying message battery low onwards,boAt Rockerz 255
54,not worth,brought piece reading lot review etc purchased started using turned said battery low fine initial product charged battery full started using started reconnecting time sound started disappearing checking range manual said saw placed mobile shirt pocket perfect working moved pant pocket disconnected reconnected kept happening charge totally waste time value tried many time got know small range one not come proper range,boAt Rockerz 255
55,please not buy three month one earphone not working properly,bad month one earphone not working one year warranty useless no service centre service help waste money,boAt Rockerz 255
56,beast,bluetooth earphone beast amazing bass sound quality mind blowing product value money suggeste buy looking amazing earphone r earphone good range provide usage time hr charge min,boAt Rockerz 255
57,one earphone not working properly,sound quality worst,boAt Rockerz 255
58,returning item,got delivery today initial impression audio really good nice bass comfortable fit audio hour usage right earphone stopped working audio output right earphone not loud left earphone,boAt Rockerz 255
59,not great sound performance overall ok,hi bought amazon tell not found worth bought seeing star rating amazon user seriously not worth star bass may sound not powerfull sharp tried switch plug ear phone boat wireless found sound not great although bass may user mentioned mic not good also feel arr looking style not look stylish earphone wire come behind not front look odd noise cancellation good ear comfort ok buy would rather wireless earphone buck metro station amd may feel disappointed rather spending buck feeling disappointed product range maxstill need something desperately wireless affordable cost ok heard colleague may find good wireless earphone ali express,boAt Rockerz 255
60,go,good bluetooth ear headphone sound quality decent may seem little thin take time get used definitely not bad poor battery life decent around hr connected build quality good though need b little careful value money deal especially sweet since got attractive deal price inr great indian amazon sale,boAt Rockerz 255
61,not accepting charging within two day purchase,let tell product detail sound quality good harmless ear not loud traffic noise not disturb listening music look awesome wire lengthy battery backup awesome six seven hour hour chargingbut product not charging two day purchase not acceptable rating one lesser one not available though change rating review replacement refund product one thing not put deep thing ear might painful minute regardssiddharth,boAt Rockerz 255
62,not working within month,product not working within month purchase,boAt Rockerz 255
63,best among worst earphone wirthout jack nothing expect,priced around k initially definitely know not worth got offer r k still not worth price looking stuff without plug mm jack mobile serf purpose not music lover want listen music long hour minute start hurting started develop ear headache continue listen hr definitely not suitable laptop keep disconnecting frequently no reason recently start mobile well battery not great daily hour hearing battery last max day string annoyingly long dangles upto stomach seen earphone reasonable length one awkwardly designed can not wear without getting attention onlooker ready spend another buck go good brand like jbl senheiser etc want cut cost well best among worst market,boAt Rockerz 255
64,value money,got must say build quality great coming sound really good bass not comment battery yet got update review later checking battery backup edit using day battery easily last day half per usage includes hr music one movie hr one episode tv series min end battery left per usage,boAt Rockerz 255
65,one best budget sport bluetooth headphone,headphone good however first one broke within one month boat replaced kudos battery life enough one half gym session would say hr sound clear good depth,boAt Rockerz 255
66,good price,bought earphone march experience headphone quite great got delivery time packing great sealed talking functioning come sound quality love bass good enough make toe move mic good quality noise cancellation could even better think great price range work dual phone radius battery backup good though min charge system full battery charging take time button working well build quality superb short go thinking buy,boAt Rockerz 255
67,earphone cable bit lengthy make irritation,term price range good earphone not best one sound quality good no issue battery life also feel comfortable around neck sometimes connection breaking travelling vehicle not big issue happens rarely thing not liked length cable really bit long make disturbance especially not listening music casually hang neck however magnetic effect working fine,boAt Rockerz 255
68,waste money,bad ear phone could not completed even month day battery getting heated battery running time getting shorter time today play hour next thing day since one side earhone not working feeling cheated,boAt Rockerz 255
69,battery issue,bass sound clearity awesome comfortable call quality also awesome battery seems not ok got product delivered yesterday unboxing product noticed battery continuously used like hour battery came used like hour battery still day morning used like minute suprisingly battery still amazed later dint use till evening later used continuously till pm yes battery still real problem occurs dinner relaxing balcony phone call suddenly started getting beep sound new boat earphone checked battery like whaaattttt seriously like min still nowhere suddenly went really pissed within second battery totally dead horrible check tomorrow still problem persist replace item build quality sound call quality really good amigo,boAt Rockerz 255
70,not good workout,wire band ear long previously using skull candy lost went cheaper option skull candy wire length perfect boat rockerz wire long keep bumping neck run sound wire hitting neck echo ear piece also floor exercise longish wire hang uncomfortably around neck sound quality battery life decent price though plan buy casual listening go ahead would not recommend serious workout,boAt Rockerz 255
71,better boult,better price range best use microphone quality like wired headphone not good hearing music also talking ur love one night best ur budget ur budget go true wireless miss microphone quality speak louder good daily use bass not best okay type price range wireless headphone neon black colour good three colour look awesome noise cancellation not much fit properly use gym heavy workout due neckband little heavier feeling wired around neck bluetooth headset not much long lasting coz charge battery one day one year may battery get damaged not charge frequently le charge headphone battery backup continues use starting hr standby mode use day get forget ur phone whenever call come not run use ur connected headset receive call also pair smart watch headset together,boAt Rockerz 255
72,good not best,bought earphone replaced finally get refund returned second time thanks amazon seller initiating refund not sound specialist good listener first lengthy review pro bass really heavy bass listening music double press invokes last phone call go call riding bike useful call wife use wearing helmet really good wire sturdy life earphone assured neck design like easy connect range connectivity good even many obstacle con mic end neck design e not closer mouth person call not hear properly mic pick many noise no mem bass not everything music much bass even equalizer adjustment reduce bass not help battery life mediocre compared others bought mi basic bluetooth headset returning pro dynamic enjoyable bass even higher volume mic noiseless con wire quality poor keep carefully cheer,boAt Rockerz 255
73,impressed deep bass exactly wanted,light well built not feel bulky battery last hour could little longer fine volume power button good quality excellent noise cancellation sound quality something not expect level good good good punch high frequency delivered well deep rich bass loved bluetooth work flawlessly,boAt Rockerz 255
74,worth buying liked,worth buying product limitted budget kjust note earphone come bluetooth v csr chipset confusion amazon desc mentioned however picture shown seller selling u version please amazon correct customer would face loss case mi communication talking build quality sound clarity looksi personally liked bass really good no noise hearing listening good melody song would dive music look wise depicted picture look different black red use jogging excersise fit good not get dropped battery ok getting around hr one full charge battery capacity could increased least hr boat no worry,boAt Rockerz 255
75,not made,bought month back pro good sound nice battery back light neck good listening musiccons really bad using actual purpose got no noise cancellation hence people nt able hear clearly advice avoid buying not return,boAt Rockerz 255
76,quality not expected,pathetic quality,boAt Rockerz 255
77,good not good,not sweat proof clear malfunction run treadmill wearing itsound goodbattery goodbut not full sweatproofalso stop working one month,boAt Rockerz 255
78,comfortable best price range,not compare sony branded one price good silicon material good wear no feeling like carrying neck comfortable around neck due good silicon material ear canal type speaker eed really push inside canal st enjoy real beat bass wear superficially sound not look great far battery durability sound price best one,boAt Rockerz 255
79,never buy boat earphone,buyed product stopped working month sale service boat bad pathetic,boAt Rockerz 255
80,one worst earphone,using past month first glance product seems good purpose wireless audio earphone operation wise thing annoys lot charging no led indicator sometimes cable loose something not know not charging switch not ux friendly not tell touch pressing volume button power button button diamond shaped extremely annoying hurry bluetooth pairing not intuitive switch phone bluetooth earphone switch earphone phone bluetooth earphone not initiate pairing know not problem iphone previous bluetooth used work way stupid start earphone double press volume button not perform next previous function earphone capable basic function occasional buzz distortion sometimes buzzing distortion restart earphone go away,boAt Rockerz 255
81,durable good battery life,sound output great built quality also look good battery backup absolutely phenomenal brand also reliable provide free pickup face problem within warranty period got product,boAt Rockerz 255
82,good quality sound observed problem,boat rockerz bt headphone product quality decent sound quality good work perfectly ear headphone not hear much outside noise even outside sound plugged hear audio assist switch pair bluetooth switch etc good feature placement earpiece problematic found difficult place initially figured later day use ear hurt placing ear bad thing noticed headset attracts lot dust used black headset see dust particle sticking,boAt Rockerz 255
83,not worth cost,using headset month battery life pathetic might huff puff hr annoying battery low notification start piercing ear noise cancellation avergae mic biggest let use call room sound get diffused sound ceiling fan make party lot difficulty hearing u ear pain lot half hour usage due ear holder kind thing provided bud not recommend anyone read watched lot review buying review rating pretty high learned one thing not go solely review buying thing kind manufacturer might paid one happy shopping,boAt Rockerz 255
84,using month,con earphone not tell remaining battery till low button know battery life battery get low not last min also voice assistant keep shouting battery low become unusable earbuds size not fit pro boat best sale support no company come close repair replacement completely hassle free purchased sound quality good build quality good water resistant battery last sufficiently long,boAt Rockerz 255
85,honest unbiased review not recommend buying,not usually write review product must one let people know issue facing try cover aspect earphone review reliability earphone get disconnected time not use like hour frustrating since start earphone first picking call also pick call not know whether use phone earphone speak since not know whether connected though small issue really frustrating trust experience earphone pretty useful give kind signal plugged ear like connected disconnected battery low frustrating battery low signal not beep long sentence say oops battery low keep repeating every second really annoys battery low beep every time bugging not good experience also take bit long power power press button like second sound quality first song listened earphone sounded really terrible high bass not really bad not much sound detail build quality build quality really good no issue battery life satisfied battery life not last long promised okay,boAt Rockerz 255
86,read describe product yr way,pro product quality good sound good light weight battery time playback time good connectivity averagecons min yr ear feeling presure good connectivy phone range time feel lil slage connectivity silenting music not product daily bike commuter due low noice cancellation overall good product base price,boAt Rockerz 255
87,decent,honestly first bummer packaging look like already opened package got little torn tape look place also earphone inside also not looked like fresh packaging really look like used could wrong could bad packaging also sound good though average loud not good range good easily use moving house always feel disturbance playing also tried connecting multiple device not done connected device first got disconnect connected,boAt Rockerz 255
88,not awesome,day use writing review got r battery life almost hour music not problem built quality good importantly sound quality not awesome may good like bass great good choice vocal sound seemed lower sometimes not crystal clear senheiser cx cost r produce much crisp sound bass overall r good deal,boAt Rockerz 255
89,worth le bluetooth earphone feel,hello bought product big sale going got good deal later k not buy price waste money sound n bass awesomebattery not sure yetsongs not changed using music key music key function uncertainmusic start playing phone suddenly calldouble tapping play stop button dial last caller greatest con product,boAt Rockerz 255
90,must buy wireless earphone,already used boat earphone quite satisfied performance interms sound bass however not expect much boat rocker tremendously performing great sound clearance noice cancellation bass never going feel headache talk battery work hour day continuesly well fitted ear without pain got deal lightning price thanks amazon provide deal swift delivery faith,boAt Rockerz 255
91,heard charging damaged headset,good week battery heated drastically melted rubber button luckily stopped charging time else may even caught fire button fused product not used hope amazon promptly replace defective product,boAt Rockerz 255
92,rockzz,amazon packaging not mark come plastic ploybag outer bag no internal protection per se durability look sturdy package also say sweat resistant delicate part charging port flap psound rock bass well treblesone good thing not let increase sound beyond threshold via headphone phone p noice cancellation awesome felt slightly protruding need inserted deep ear otherwise chance falling not ground btw package contains charging cable cm long pair bud different size warranty card manualcolour red black matt finish post delivery feedback no idea battery backup charging sweat proof add later,boAt Rockerz 255
93,best bt earphone k,lately using lot product boat product offer thought ordering using base head beforewhen compared directly earphone not great term base earphone wireless take away thing quiet light weight price awesome earphone easy connect quiet reliable one wear whole day not even feel sound quality base side someone love good base give try product not disappoint service boat way ahead brand,boAt Rockerz 255
94,excellent sound quality value money,writing review using boat wireless headset jbk bt must say boat got excellent bass sound quality compared jbl one superb sound quality built comfortable ear value money,boAt Rockerz 255
95,feeling good got free huawei phone,dear let write genuine review product product delivered time guy using product since last month discovered excellent product product much better compare costly international brand like excellent bass noise cancellation support value moneydislikes expect form local brand term quality material used e g plastic quality packaging box overall suggestion buy price,boAt Rockerz 255
96,mind boggling product,not get enough earphone sound qulity clear high low battery life expected bluetooth earphone showing day battery life quality material used nice happier expected thank amazon fast delivery,boAt Rockerz 255
97,one best bluetooth headphone price range,purchased one month back comparing many product surprise noice cancellation bass sound quality product amazing even compared jbl live bt cost around headphone far better jbl one go want good wireless headphone price range con came across battery indicator not working properly suddenly jump percent low battery actual battery life claimed around hour,boAt Rockerz 255
98,first impression best,unpacked pairing easy able pair oneplus laptop pairing phone first switched bluetooh phone paired pc switched bluetooth phone played music pc received call phone headset go silent music automatically pause exactly way wanted however one drawback phone call end music not resume automatically sound quality good good bass comfortable wear,boAt Rockerz 255
99,not buy,would used hardly hour since got product not charge return window already crossed total loss amazon stop selling substandard product plz,boAt Rockerz 255
100,replacement item no refund,good quality ear phone durable wire wire hard not flexiable big compared earphone not fit pocket sure magnetic base combine two side not use major thing ear phone bought can not returned replacement option available amazon quite disappointing,boAt Rockerz 255
101,beast price segment,purchase eye closed man buck no one ever give bass good audio quality wireless bluetooth earphone not think much not know lasting product feeling build seems premium first day usage review writing month usingone earbud stopped working without reason today pathetic product must say,boAt Rockerz 255
102,not good one,not go product seen review purchased surprise ear phone bad producing decent bass instead bass heavy even bass head like not find good heavy use longer time might end hurting ur ear,boAt Rockerz 255
103,piece garbage,let tell not buy yes true best product get price doubt definitely not best product buy problem faced battery pathetic mostly give hour playtime earphone get disconnected even go next room sound low use rd party equalizer listen clearly bass also not good rely rd party appsthe thing boat good warranty service problem device make garbage af,boAt Rockerz 255
104,value money earphone,good buy sits comfortably around neck earpiece good feel sturdy noise cancellation surprisingly good price range phone call person end hears le background noise sound quality good android iphone sound tends get crackling high volume equaliser no complains flat sound wire bit long get used issue bt earphone price bracket voice breaking keep phone pocket jean walk audio start break reposition neckband happened quite number time used tagg inferno mivi thunderbeats issue one summarise worth buying,boAt Rockerz 255
105,best budget,really glad product previous one boat boat rockerz whose sound quality bass fabulous call quality dissapointed one really excellent think made right choice great product really awsome product best call quality best durability excellent sound quality decent battery backup else one need product ranging around k really loved,boAt Rockerz 255
106,not working expected,product received time no issue sharing experience decide go product call suddenly go blank no noise cancellation not working properly always people call ask outside getting many noise ordered replacement day received serviced item may someone used returned boat issue persist not know not using important office call using hearing music watching movie replacement process good come collect product return using courier raise ticket online problem rectified not matter overall suggestion experience could say not go product really want use official purpose,boAt Rockerz 255
107,basic wireless headphone,got sale disappointed earlier jbl wireless headphone good quality lost saw ad wireless headphone newspaper decided buy already use boat awesome got disappointed speak loudly order voice reach party look weird public feel quality also not upto mark amazon feel knew sale non returnable stuck not recommend buy thanks,boAt Rockerz 255
108,not buy,one month nd gone product suck please not buy not finding service centre well,boAt Rockerz 255
109,good not good,month using earphone product good still would say price could better solid good sound quality easy carry smart looking sometimes take lot time connect phone part hold ear got loose already got ear time charging point view work pretty well mnts charging enough hour continues use good lil expensive,boAt Rockerz 255
110,good value money,pro rich bass good built quality magnetic lock nice grip neck good company service replace faulty charging con not leave charging cap open sweat get damage charging detailed review boat rockerz bluetooth ear headset good quality product rich bass nooce cancellation also pretty good accessory like ear bud different size charging cable provided workout sweat alot make sure keep tha charging cap closed sweat go may damage charging charging stopped working week replace company service amazing took around day got replaced piece back extra accessory conclusion would really recomend headset provide good value money p not walk using noice cancellation not let hear anything else may accident,boAt Rockerz 255
111,value money bass lover good connectivity,love earphone battery lasted morning pm continuously connected smartphone used call hour music time period lot bass levelled smart phone inbuilt equalizer pain using multiple music player video player build quality good w r price bought r bluetooth pairing fast no hazzles used activity not voice recording anyone looking recording audio device not looking,boAt Rockerz 255
112,really good product worth purchase,really good built quality premium quality except rubber holder provides smooth sound quality bass condition use proper ear bud happy purchase used brand jbl skullcandy house marley standing brand bluetooth get connected easily also get year insurance card product give enhancement trusthappy productpros good built qualitygood sound basseasy connectivityperfectly fitsgood doorcons found uneasy use might gripper never used note example gave jbl sound quality really consider point price,boAt Rockerz 255
113,wow,great product come nice box fit perfect ear sound quality also nice tested couple different song good waiting buy luck came sale steal price super happy product not sure price available normal sale price saw guess might little expensive got real deal happy happy,boAt Rockerz 255
114,sound quality not good bassed,brought one using boat nirvanaa uno uno good quality stereo nice bass sound like mono headset think bass much not set correctly sound differently mobile pc not satisfied sound output connects pc mobile time attending mobile call skype call no hassle r better quality available trusted boat based previous purchase uno,boAt Rockerz 255
115,good one not great,eventhough connects two divices time however audio not switch first device connected playing audio first device connected not work work last device connected need reconnect previous device get work not sure manufacturing defect functionality limitation atleast work flawlessly bluetooth headset like jabra anyway light weight sound quality better many product price range,boAt Rockerz 255
116,good buy affordable price,looking pair bluetooth earphone use gym workout found r sale event review week using product pro excellent bass quality love earphone bass lover earphone lightweight magnetic tip make easy carry around neck find really convenient use gym good noise cancellation sweat resistant con battery life boat claim battery life hour run much shuts even though phone display battery leftear pain ear bud not comfortable pair find ear start hurting prolonged usagemic voice quality not great not preferred taking call overall good buy price range,boAt Rockerz 255
117,boat experience,feel best business come exceptional quality awesome product exact right price point awesome accoustic experience boat provides would go far say bose price point using boat rockerz past lasted well year delivering exceptional music experience throughout battery started give way yr expected product better sound quality term bass accoustic treble compared wire bit long liking probably gotten used short wire sure last well year brother not listen bought noise shotz regretting decision poor sound quality battery quality connection issue issue noise shotz everyone give try skullcandy replaced company time first year warranty active throw away warranty expired th piece also malfunctioned boat experience though awesome soundblowing experience,boAt Rockerz 255
118,great headset sturdy build,great headset music lover solid bass loud volume volume control separate headset addition mobile volume control huge plus good sound quality audio call not try jogging unabl review moisture wicking property much good length earphone cable good battery life purchased inr h nice good vfm overall would buy design wise like boult wireless better wire tends hang long neck not using earphone otherwise great product buy,boAt Rockerz 255
119,feedback,ear go order placing line complaint not go pls replace suggest time pune maharashtra contact mobile no give star rating getting feed back co,boAt Rockerz 255
120,setting expectation right,r area boat delivers largely others not noise cancellation bass highlight might compromise poor build quality sub par sound clarity battery life week experience daily usage come find battery not support hour playtime even volume great bass might sometimes overshadow mid high tone one earbuds stopped working ordered replacement post update amazon appario excellent round experience order placement delivery replacement initiation,boAt Rockerz 255
